gu,빈집_소계,단독주택,아파트,연립주택,다세대주택,비거주용_건물내_주택,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥),소음_공장,소음_교통,소음_생활,소음_소계,대기 1종,대기 2종,대기 3종,대기 4종,대기 5종,대기 소계,수질 1종,수질 2종,수질 3종,수질 4종,수질 5종,수질 소계
강남구,35440,29,17630,1892,15571,318,26.33903196347032,30.44623529411765,489.9470319634703,3.481352833638025,36775.55433789954,21418.713107241063,0.0,0.0,27772.0,27772.0,10.0,5.0,6.0,199.0,438.0,658.0,0.0,5.0,16.0,16.0,501.0,538.0
강동구,15266,30,9985,387,4737,127,24.20879484820607,26.29998166819432,453.8,2.8999377859103386,39983.0,22825.65265082267,0.0,35.0,11897.0,11932.0,0.0,3.0,5.0,51.0,52.0,111.0,3.0,0.0,9.0,12.0,276.0,300.0
강북구,7281,423,2691,486,3576,105,18.493,30.945,457.8177168949772,2.7840000000000003,40879.29863013699,21445.0,0.0,24.0,7738.0,7762.0,0.0,0.0,0.0,18.0,60.0,78.0,0.0,0.0,2.0,0.0,167.0,169.0
강서구,24010,138,12422,859,10345,246,25.751325118483408,30.95724566210046,503.6595433789954,3.997117050691244,41700.095063985376,21920.0,0.0,54.0,6038.0,6092.0,3.0,5.0,1.0,109.0,337.0,455.0,4.0,2.0,20.0,36.0,549.0,611.0
관악구,3086,527,1405,188,925,41,28.598373626373625,29.16891176470588,544.4936014625229,3.365070319634704,38139.799086758,20295.51780821917,0.0,17.0,9696.0,9713.0,0.0,3.0,0.0,24.0,67.0,94.0,0.0,0.0,6.0,5.0,136.0,147.0
광진구,2966,16,1228,330,1301,87,21.51880366972477,28.61396872125115,560.9235831809872,3.208290909090908,37347.0,20968.0,0.0,1.0,5729.0,5730.0,0.0,0.0,0.0,53.0,52.0,105.0,3.0,0.0,0.0,13.0,119.0,135.0
구로구,16773,173,9332,1447,5659,162,23.82839052132701,32.515,413.0,3.300121658986176,40553.011070110704,20688.00735294117,0.0,152.0,5531.0,5683.0,0.0,3.0,3.0,74.0,279.0,359.0,0.0,2.0,4.0,9.0,384.0,399.0
금천구,4110,22,1669,409,1962,48,26.484981549815497,28.748691674290946,487.88058608058606,3.415465201465201,37901.91017415215,22790.175824175825,76.0,42.0,5738.0,5856.0,0.0,0.0,0.0,62.0,411.0,473.0,0.0,2.0,8.0,20.0,458.0,488.0
노원구,18129,1234,15211,191,1413,80,23.56,30.589,527.5813698630137,3.243,38276.69597069597,22869.866666666665,0.0,0.0,3243.0,3243.0,6.0,0.0,5.0,59.0,84.0,154.0,0.0,0.0,5.0,19.0,254.0,278.0
도봉구,10501,224,5191,456,4512,118,18.71214625228519,32.23181718464351,467.5315985130112,2.9942476894639545,35898.261665141814,19968.879120879123,45.0,40.0,3879.0,3964.0,0.0,0.0,1.0,50.0,70.0,121.0,0.0,0.0,0.0,6.0,231.0,237.0
동대문구,6017,408,3990,326,1131,162,25.607,30.767,491.244647758463,3.077269549218031,37341.0703196347,20739.69230769231,0.0,15.0,9203.0,9218.0,0.0,0.0,3.0,30.0,61.0,94.0,0.0,1.0,0.0,19.0,153.0,173.0
동작구,3559,648,807,342,1692,70,25.595,29.603,462.19473684210527,3.029,42121.29551692589,23100.07671232877,0.0,57.0,6664.0,6721.0,0.0,0.0,1.0,50.0,50.0,101.0,0.0,3.0,0.0,9.0,95.0,107.0
마포구,14325,227,6002,622,7101,373,28.361877625570777,28.80685086916743,492.8983486238532,3.1939141552511416,36002.69835466179,21042.19908675799,0.0,0.0,9790.0,9790.0,12.0,0.0,0.0,47.0,167.0,226.0,0.0,0.0,3.0,4.0,137.0,144.0
서대문구,8689,407,3442,1077,3597,166,20.06492223238792,31.28108226691042,604.6099082568808,3.979893870082342,35324.30202578269,20267.44536271809,0.0,54.0,7379.0,7433.0,0.0,4.0,2.0,19.0,59.0,84.0,0.0,0.0,6.0,6.0,124.0,136.0
서초구,23366,353,14187,1292,7304,230,26.92282309807516,31.1264,433.7,3.243959817351598,40502.0,21170.0,0.0,22.0,12758.0,12780.0,0.0,3.0,3.0,171.0,272.0,449.0,0.0,0.0,11.0,7.0,449.0,467.0
성동구,6686,737,3894,163,1719,173,26.565384898710864,30.543868493150686,461.8213698630137,3.462158904109589,38454.1718464351,20660.552607502286,0.0,24.0,6945.0,6969.0,1.0,1.0,4.0,109.0,514.0,629.0,3.0,1.0,3.0,13.0,720.0,740.0
성북구,10677,2095,4518,914,2968,182,27.947,28.63,589.8152610441767,3.075223443223443,39530.40733944954,19923.535224153704,0.0,0.0,5438.0,5438.0,0.0,0.0,0.0,50.0,47.0,97.0,0.0,0.0,10.0,3.0,184.0,197.0
송파구,19147,80,9768,599,8518,182,28.635,28.378,536.0,3.282981684981685,38383.04204753199,21206.698354661792,0.0,106.0,8304.0,8410.0,3.0,9.0,0.0,81.0,222.0,315.0,0.0,6.0,3.0,6.0,478.0,493.0
양천구,13432,54,6855,638,5731,154,26.419,28.363,524.1128205128205,3.609,41312.46929422549,23169.27970749543,0.0,58.0,3511.0,3569.0,6.0,1.0,0.0,19.0,51.0,77.0,0.0,1.0,3.0,14.0,215.0,233.0
영등포구,7125,530,5040,268,1099,188,27.68826301369863,28.489994520547945,538.9587534372135,3.2539689497716893,37788.95795246801,21808.898630136988,22.0,31.0,10825.0,10878.0,0.0,3.0,3.0,144.0,432.0,582.0,6.0,2.0,6.0,7.0,532.0,553.0
용산구,13089,462,7551,1233,3578,265,23.28316897506925,27.09943490304709,469.8733148661127,3.3082400738688817,38844.96474953618,21126.13506012951,0.0,53.0,6633.0,6686.0,0.0,0.0,3.0,63.0,89.0,155.0,0.0,0.0,7.0,16.0,134.0,157.0
은평구,13312,411,4071,846,7797,187,18.70755147058824,33.03327970749543,506.6587581093605,3.2499652968036528,37180.61961503208,21290.425570776257,0.0,2.0,7776.0,7778.0,3.0,0.0,0.0,22.0,36.0,61.0,0.0,0.0,0.0,11.0,172.0,183.0
종로구,6279,758,1826,925,2444,326,25.27606210045662,31.004577696526507,545.5890009165903,3.679357077625571,39281.84109589041,22365.406392694065,0.0,3.0,6358.0,6361.0,0.0,3.0,3.0,138.0,217.0,361.0,0.0,0.0,0.0,17.0,600.0,617.0
중구,5079,136,3013,286,1380,264,27.213981651376148,29.451100091827364,512.0029357798165,3.4263889400921648,39064.92955169259,23023.01921317475,0.0,3.0,5107.0,5110.0,0.0,0.0,6.0,243.0,402.0,651.0,0.0,0.0,4.0,16.0,881.0,901.0
중랑구,5991,174,3729,481,1476,131,24.490034766697164,30.50332600732601,473.7937614678899,3.0499138405132906,38546.51052150046,20356.720951509607,0.0,10.0,6573.0,6583.0,0.0,0.0,0.0,10.0,67.0,77.0,0.0,0.0,0.0,9.0,200.0,209.0
